INFO 2022-12-20 18:06:12 (32639) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 10 - Laichzeit          - Spawning time      - https://affenknecht.com/lyrics/rammstein-leichzeit-lyric-with-english-translation/
INFO 2022-12-20 18:06:12 (32703) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 11 - Rammstein          - Rammstein          - https://affenknecht.com/lyrics/rammstein-rammstein-lyric-with-english-translation/
INFO 2022-12-20 18:06:12 (32703) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - ----------------------------------------------------------------------------------------------------
INFO 2022-12-20 18:06:13 (32732) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - Lyrics of other releases
INFO 2022-12-20 18:06:13 (32809) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 1  - Ramm4              - Ramm4              - https://affenknecht.com/lyrics/rammstein-ramm4/
INFO 2022-12-20 18:06:13 (32868) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 2  - Gib mir deine Augen - Give me your eyes  - https://affenknecht.com/lyrics/rammstein-gib-mir-deine-augen-lyric-with-english-translation/
INFO 2022-12-20 18:06:13 (32932) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 3  - Amerika (English)  - America            - https://affenknecht.com/lyrics/rammstein-amerika-english-version-lyric/
INFO 2022-12-20 18:06:13 (32995) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 4  - Jeder Lacht        - Everybody laughs   - https://affenknecht.com/lyrics/rammstein-jeder-lacht-lyric-with-english-translation/
INFO 2022-12-20 18:06:13 (33057) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 5  - Das Modell         - The Model          - https://affenknecht.com/lyrics/rammstein-das-modell-lyric-with-english-translation/
INFO 2022-12-20 18:06:13 (33122) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 6  - Feuerrader         - Burning wheels     - https://affenknecht.com/lyrics/rammstein-feuerrader-lyric-with-english-translation/
